nome,quantidade,unidade,valor_unitario
camiseta_basica_branca_m,50,UN,29.90
calca_jeans_slim_40,30,UN,89.50
vestido_floral_g,15,UN,119.99
tenis_esportivo_42,25,UN,180.00
moletom_capuz_p,20,UN,149.00
meia_esportiva_kit_3,100,UN,15.90
bermuda_sarja_44,35,UN,75.00
jaqueta_couro_fake_m,10,UN,250.00
blusa_manga_longa_g,40,UN,55.50
luva_termica_par,60,UN,25.50
saia_midi_plissada_p,18,UN,135.00
camisa_social_azul_m,22,UN,110.90
regata_fitness_g,55,UN,40.00
bone_aba_curva_preto,90,UN,39.90
sapatilha_feminina_37,30,UN,65.00
gravata_seda_slim,70,UN,49.90
short_jeans_rasgado_38,28,UN,79.90
blusa_xadrez_flanela_g,25,UN,69.90
calca_chino_bege_42,15,UN,105.00
casaco_trench_coat_p,5,UN,350.00
polo_listrada_m,45,UN,59.90
sapato_social_40,20,UN,199.90
cachecol_seda_estampado,70,UN,45.00
gorro_tricot_cinza,90,UN,29.90
shorts_praia_masc_g,80,UN,45.00
biquini_top_m,50,UN,60.00
sunga_boxer_p,65,UN,40.00
pijama_malha_fem_m,30,UN,79.00
roupao_felpudo_unico,10,UN,160.00
camisola_renda_p,20,UN,120.00
gravata_borboleta_preta,40,UN,35.00
kit_lenços_3pçs,50,UN,55.00
mochila_lona_casual,35,UN,150.00
carteira_couro_masc,55,UN,95.00
necessaire_viagem,75,UN,30.00
oculos_sol_aviador,100,UN,89.00
relogio_silicone_esport,40,UN,130.00
cinto_elastico_cores,60,UN,35.00
canga_praia_estampada,85,UN,50.00
toalha_banho_gigante,40,UN,65.00
chinelo_nuvem_38,70,UN,39.90
pantufa_pelucia_39,50,UN,49.90
kit_pulseiras_couro,60,UN,40.00
colar_pingente_simples,80,UN,25.00
anel_prata_925,10,UN,75.00
pulseira_bracelete_inox,30,UN,85.00
brinco_argola_medio,120,UN,19.90
